frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
123,0.1,low_threshold,clean,29609,888270,888270,0.1678,345.458,0.142,0.015,0.007,345.614
123,0.1,low_threshold,noisy,104241,3127230,3127230,0.1678,345.458,0.499,0.052,0.026,346.009
124,0.1,low_threshold,clean,29895,896850,896850,0.1678,345.458,0.143,0.015,0.008,345.616
124,0.1,low_threshold,noisy,104866,3145980,3145980,0.1678,345.458,0.502,0.053,0.026,346.012
125,0.1,low_threshold,clean,33823,1014690,1014690,0.1678,345.458,0.162,0.017,0.009,345.636
125,0.1,low_threshold,noisy,109263,3277890,3277890,0.1678,345.458,0.523,0.055,0.028,346.035
126,0.1,low_threshold,clean,31250,937500,937500,0.1678,345.458,0.149,0.016,0.008,345.623
126,0.1,low_threshold,noisy,105207,3156210,3156210,0.1678,345.458,0.503,0.053,0.026,346.014
127,0.1,low_threshold,clean,31722,951660,951660,0.1678,345.458,0.152,0.016,0.008,345.625
127,0.1,low_threshold,noisy,106222,3186660,3186660,0.1678,345.458,0.508,0.053,0.027,346.019
128,0.1,low_threshold,clean,32491,974730,974730,0.1678,345.458,0.155,0.016,0.008,345.629
128,0.1,low_threshold,noisy,106969,3209070,3209070,0.1678,345.458,0.512,0.054,0.027,346.023
129,0.1,low_threshold,clean,32475,974250,974250,0.1678,345.458,0.155,0.016,0.008,345.629
129,0.1,low_threshold,noisy,106707,3201210,3201210,0.1678,345.458,0.51,0.054,0.027,346.022
